Text,Category,Emotion,Severity
"it's been a peaceful, uneventful day.",Positive,Happy,'
i avoid conversations because i feel empty inside.,Negative,Depression,Low
i worry about small details.,Negative,Anxiety,Low
i'm consumed by terrifying thoughts.,Negative,Fear,High
i feel breathless and dizzy during panic attacks.,Negative,Anxiety,High
i'm paralyzed by overwhelming fear.,Negative,Fear,High
life feels unbearable every single day.,Negative,Depression,High
they serve lunch until 3 pm.,Neutral,Neutral,'
the meeting is at 2 pm.,Neutral,Neutral,'
i feel emotionally numb.,Negative,Depression,Low
i get chest pains from extreme worry.,Negative,Anxiety,High
everything feels like too much all the time.,Negative,Anxiety,High
"finally finished that project, what a relief!",Positive,Happy,'
i'm struggling with heavy emotions.,Negative,Sad,Moderate
life feels beautiful right now.,Positive,Happy,'
"it's been a peaceful, uneventful day.",Positive,Happy,'
i no longer enjoy things i used to love.,Negative,Depression,Low
things aren't going as planned.,Negative,Sad,Low
i feel uneasy in crowded spaces.,Negative,Fear,Low
the phone is charging.,Neutral,Neutral,'
i got the job! i am over the moon!,Positive,Happy,'
i'm mildly disappointed.,Negative,Sad,Low
i get a bit upset when people are rude.,Negative,Anger,Low
i feel heartbroken.,Negative,Sad,Moderate
making phone calls stresses me out slightly.,Negative,Anxiety,Low
i cry without knowing the exact reason.,Negative,Anxiety,High
my anxiety makes me feel paralyzed in public.,Negative,Anxiety,High
i feel disconnected from my surroundings.,Negative,Depression,Low
the bus arrives every 15 minutes.,Neutral,Neutral,'
i'm lost in overwhelming darkness.,Negative,Depression,Moderate
every day feels the same and dull.,Negative,Depression,Low
i'm struggling to focus.,Negative,Sad,Moderate
i punch walls when i lose control.,Negative,Anger,High
my hands tremble when i sense danger.,Negative,Fear,Moderate
i feel like i'm beyond saving.,Negative,Depression,High
this moment is perfect.,Positive,Happy,'
i'm somewhat disheartened.,Negative,Sad,Low
i get mildly anxious meeting new people.,Negative,Anxiety,Low
i feel deeply disappointed.,Negative,Sad,Moderate
so hurt i can't explain it.,Negative,Sad,High
she is reading a book.,Neutral,Neutral,'
i'm gripped by paralyzing terror.,Negative,Fear,High
"i laughed so much today, it felt amazing.",Positive,Happy,'
i get frightened when people raise voices.,Negative,Fear,Moderate
my anger makes me do things i regret.,Negative,Anger,High
rage takes over my entire being.,Negative,Anger,High
the bus arrives every 15 minutes.,Neutral,Neutral,'
the meeting is at 2 pm.,Neutral,Neutral,'
i love being around them.,Positive,Happy,'
"made progress on my goals, feels amazing.",Positive,Happy,'
my thoughts feel heavy and endless.,Negative,Depression,Moderate
i feel uneasy in crowded spaces.,Negative,Fear,Low
i love being around them.,Positive,Happy,'
there's nothing left that brings me peace.,Negative,Depression,Moderate
i'm feeling somewhat melancholy.,Negative,Sad,Low
he drives to work daily.,Neutral,Neutral,'
the store closes at 9 pm.,Neutral,Neutral,'
fear keeps me from speaking my mind.,Negative,Fear,Moderate
i fear failure in every new attempt.,Negative,Fear,Moderate
today was a good day.,Positive,Happy,'
i love being around them.,Positive,Happy,'
i'm slightly afraid of water.,Negative,Fear,Low
i feel consumed by uncontrollable rage.,Negative,Anger,High
"made progress on my goals, feels amazing.",Positive,Happy,'
i'm consumed by hopelessness.,Negative,Depression,High
my anger builds when people are inconsiderate.,Negative,Anger,Moderate
i downloaded a new app.,Neutral,Neutral,'
woke up feeling positive and ready for the day.,Positive,Happy,'
i hesitate to walk alone at night.,Negative,Fear,Low
woke up feeling positive and ready for the day.,Positive,Happy,'
traffic delays annoy me slightly.,Negative,Anger,Low
i'm experiencing profound sadness.,Negative,Sad,Moderate
the conference call lasted an hour.,Neutral,Neutral,'
rude behavior makes me notably angry.,Negative,Anger,Moderate
uncertainty causes me noticeable distress.,Negative,Anxiety,Moderate
i get slightly upset by inconsiderate behavior.,Negative,Anger,Low
i feel disconnected from my surroundings.,Negative,Depression,Low
i feel like i'm drowning in emptiness.,Negative,Depression,Moderate
uncertainty causes me noticeable distress.,Negative,Anxiety,Moderate
i keep worrying about my assignments.,Negative,Anxiety,Moderate
things aren't going as planned.,Negative,Sad,Low
i feel a bit anxious about heights.,Negative,Fear,Low
i feel overwhelmed by daily responsibilities.,Negative,Anxiety,Moderate
enjoyed peaceful moments with family.,Positive,Happy,'
i'm feeling a bit down today.,Negative,Sad,Low
i feel uneasy when flying in planes.,Negative,Fear,Low
i feel panic and can't breathe properly.,Negative,Anxiety,High
i downloaded a new app.,Neutral,Neutral,'
i feel like i'm drowning in despair.,Negative,Depression,High
i cry for no reason and don't know why.,Negative,Depression,Moderate
got good feedback on something i worked hard on.,Positive,Happy,'
enjoyed a quiet cup of coffee this morning.,Positive,Happy,'
things aren't going as planned.,Negative,Sad,Low
small mistakes make me a little angry.,Negative,Anger,Low
i just don't feel like myself anymore.,Negative,Depression,Low
i'm struggling with heavy emotions.,Negative,Sad,Moderate
strangers staring makes me anxious.,Negative,Fear,Moderate
life feels beautiful right now.,Positive,Happy,'
i wake up wishing i hadn't.,Negative,Depression,High
had a delicious meal and laughed a lot tonight.,Positive,Happy,'
"got a compliment at work, it made my day.",Positive,Happy,'
late responses irritate me a bit.,Negative,Anger,Low
getting out of bed feels like a task.,Negative,Depression,Low
everything feels like it's falling apart.,Negative,Sad,High
i have lost all hope and meaning.,Negative,Depression,High
fear consumes me every night before sleeping.,Negative,Fear,High
making phone calls stresses me out slightly.,Negative,Anxiety,Low
i'm suffocating under crushing despair.,Negative,Depression,High
listening to my favorite playlist and feeling good.,Positive,Happy,'
i avoid hospitals out of deep fear.,Negative,Fear,High
got good feedback on something i worked hard on.,Positive,Happy,'
my mind races with fear every day.,Negative,Anxiety,High
i feel quite low after work.,Negative,Sad,Moderate
listening to my favorite playlist and feeling good.,Positive,Happy,'
caught up with a friend over video call. made my day!,Positive,Happy,'
i blackout from intense anger sometimes.,Negative,Anger,High
i get defensive when criticized.,Negative,Anger,Moderate
"had a pretty decent day today, can't complain.",Positive,Happy,'
my hands tremble when i sense danger.,Negative,Fear,Moderate
i feel heartbroken.,Negative,Sad,Moderate
caught up with a friend over video call. made my day!,Positive,Happy,'
i feel completely broken inside.,Negative,Depression,High
today was a good day.,Positive,Happy,'
i'm slightly worried about deadlines.,Negative,Anxiety,Low
poor service makes me a bit angry.,Negative,Anger,Low
i'm slightly nervous about public speaking.,Negative,Fear,Low
i'm going through the motions of life.,Negative,Depression,Low
arguments leave me feeling worked up.,Negative,Anger,Moderate
my temper flares during disagreements.,Negative,Anger,Moderate
i wish i could disappear.,Negative,Depression,High
life feels unbearable every single day.,Negative,Depression,High
i'm going through the motions of life.,Negative,Depression,Low
my whole body shakes before big decisions.,Negative,Anxiety,High
i wake up wishing i hadn't.,Negative,Depression,High
the meeting is at 2 pm.,Neutral,Neutral,'
a kind message from a friend made my day.,Positive,Happy,'
i avoid dark alleys out of caution.,Negative,Fear,Low
arguments leave me feeling worked up.,Negative,Anger,Moderate
there are clouds in the sky.,Neutral,Neutral,'
i'm slightly uneasy in social settings.,Negative,Anxiety,Low
i am terrified of going outside alone.,Negative,Fear,High
i feel overwhelmed by daily responsibilities.,Negative,Anxiety,Moderate
"the sun is out, and it feels nice to relax.",Positive,Happy,'
woke up feeling positive and ready for the day.,Positive,Happy,'
i avoid conversations because i feel empty inside.,Negative,Depression,Low
had a delicious meal and laughed a lot tonight.,Positive,Happy,'
disorganization makes me quite angry.,Negative,Anger,Moderate
i hesitate to walk alone at night.,Negative,Fear,Low
the cat is sleeping.,Neutral,Neutral,'
i'm mildly disappointed.,Negative,Sad,Low
i get mildly frustrated with slow internet.,Negative,Anger,Low
woke up feeling positive and ready for the day.,Positive,Happy,'
the bus arrives every 15 minutes.,Neutral,Neutral,'
"i laughed so much today, it felt amazing.",Positive,Happy,'
i got the job! i am over the moon!,Positive,Happy,'
the meeting is at 2 pm.,Neutral,Neutral,'
i feel disconnected from others.,Negative,Sad,Moderate
i experience physical tension from worry.,Negative,Anxiety,Moderate
"i am here, but i don't feel alive.",Negative,Depression,High
i wake up from nightmares drenched in sweat.,Negative,Fear,High
i'm feeling mildly upset.,Negative,Sad,Low
i'm suffocating under the weight of sadness.,Negative,Sad,High
"i laughed so much today, it felt amazing.",Positive,Happy,'
he drives to work daily.,Neutral,Neutral,'
i feel like i'm in a bottomless pit.,Negative,Depression,High
small mistakes make me a little angry.,Negative,Anger,Low
every part of me wants to disappear.,Negative,Depression,High
i have three appointments today.,Neutral,Neutral,'
the printer needs paper.,Neutral,Neutral,'
this is the happiest i've felt in a long time!,Positive,Happy,'
i'm feeling a bit down today.,Negative,Sad,Low
"tried a new recipe, and it turned out okay!",Positive,Happy,'
"the sun is out, and it feels nice to relax.",Positive,Happy,'
enjoyed peaceful moments with family.,Positive,Happy,'
i cannot see a way out of this darkness.,Negative,Sad,High
i'm haunted by past traumatic experiences.,Negative,Fear,High
my patience runs thin with repeated mistakes.,Negative,Anger,Moderate
i fear stepping out of the house alone.,Negative,Fear,High
i can't stop smiling!,Positive,Happy,'
i'm a bit scared during thunderstorms.,Negative,Fear,Low
i feel somewhat downcast.,Negative,Sad,Low
i'm slightly worried about deadlines.,Negative,Anxiety,Low
i need to buy groceries.,Neutral,Neutral,'
"everyone's around, but i still feel distant.",Negative,Depression,Low
he drives to work daily.,Neutral,Neutral,'
they serve lunch until 3 pm.,Neutral,Neutral,'
my anger builds when people are inconsiderate.,Negative,Anger,Moderate
i feel like i'm losing control completely.,Negative,Anxiety,High
i fear being judged in new groups.,Negative,Fear,Moderate
a little down but trying to stay positive.,Negative,Sad,Low
rage takes over my entire being.,Negative,Anger,High
my anger frightens even me sometimes.,Negative,Anger,High
"made progress on my goals, feels amazing.",Positive,Happy,'
a little down but trying to stay positive.,Negative,Sad,Low
i'm constantly tired after a full night's sleep.,Negative,Depression,Low
i feel uncomfortable in unfamiliar places.,Negative,Fear,Low
i feel consumed by unbearable pain.,Negative,Sad,High
i get defensive when criticized.,Negative,Anger,Moderate
i get mildly frustrated with slow internet.,Negative,Anger,Low
i keep worrying about my assignments.,Negative,Anxiety,Moderate
everything hurts and i can't make it stop.,Negative,Sad,High
i'm slightly afraid of water.,Negative,Fear,Low
i got the job! i am over the moon!,Positive,Happy,'
my anger turns into destructive behavior.,Negative,Anger,High
i worry about small details.,Negative,Anxiety,Low
i often fear losing control in situations.,Negative,Fear,Moderate
i'm slightly worried about the future.,Negative,Fear,Low
watched a feel-good movie. it lifted my spirits.,Positive,Happy,'
i'm overwhelmed by complete hopelessness.,Negative,Depression,High
i did it! i actually did it!,Positive,Happy,'
he drives to work daily.,Neutral,Neutral,'
everything feels right today.,Positive,Happy,'
i stay alert constantly fearing bad news.,Negative,Fear,Moderate
i feel forgotten and overlooked.,Negative,Sad,Moderate
she is reading a book.,Neutral,Neutral,'
i feel terror just hearing certain sounds.,Negative,Fear,High
i feel like i'm fading into the background.,Negative,Depression,Low
i avoid social events due to nervousness.,Negative,Anxiety,Moderate
i love being around them.,Positive,Happy,'
the store closes at 9 pm.,Neutral,Neutral,'
woke up feeling positive and ready for the day.,Positive,Happy,'
i feel uneasy when flying in planes.,Negative,Fear,Low
i'm suffocating under crushing despair.,Negative,Depression,High
"finally finished that project, what a relief!",Positive,Happy,'
life just hurts right now.,Negative,Sad,High
my fury is completely overwhelming.,Negative,Anger,High
everything hurts and i can't make it stop.,Negative,Sad,High
my mind races with fear every day.,Negative,Anxiety,High
waiting in long lines frustrates me mildly.,Negative,Anger,Low
minor mistakes stay on my mind longer.,Negative,Anxiety,Low
my anxiety makes me feel paralyzed in public.,Negative,Anxiety,High
the coffee is hot.,Neutral,Neutral,'
it is becoming harder to pretend i am okay.,Negative,Depression,Moderate
i can't stop smiling!,Positive,Happy,'
i keep worrying about my assignments.,Negative,Anxiety,Moderate
everything feels right today.,Positive,Happy,'
traffic delays annoy me slightly.,Negative,Anger,Low
i feel mildly frustrated with technical issues.,Negative,Anger,Low
there are clouds in the sky.,Neutral,Neutral,'
i'm lost in overwhelming darkness.,Negative,Depression,Moderate
i feel like i'm suffocating from anxiety.,Negative,Anxiety,High
i feel a little gloomy.,Negative,Sad,Low
i can't stop smiling!,Positive,Happy,'
i'm slightly worried about deadlines.,Negative,Anxiety,Low
smiling feels forced and exhausting.,Negative,Depression,Moderate
i get slightly upset by inconsiderate behavior.,Negative,Anger,Low
my thoughts feel heavy and endless.,Negative,Depression,Moderate
the package was delivered yesterday.,Neutral,Neutral,'
i get upset when promises are broken.,Negative,Anger,Moderate
the temperature is 22 degrees.,Neutral,Neutral,'
i feel like i'm slowly disappearing from life.,Negative,Depression,Moderate
"suddenly, i feel like i'm choking and can't calm down.",Negative,Anxiety,High
i love being around them.,Positive,Happy,'
repetitive sounds irritate me slightly.,Negative,Anger,Low
got good feedback on something i worked hard on.,Positive,Happy,'
i'm consumed by hopelessness.,Negative,Depression,High
everything feels like too much all the time.,Negative,Anxiety,High
minor mistakes stay on my mind longer.,Negative,Anxiety,Low
i get upset when promises are broken.,Negative,Anger,Moderate
i feel nervous about job interviews.,Negative,Fear,Low
the coffee is hot.,Neutral,Neutral,'
this moment is perfect.,Positive,Happy,'
confronting people gives me chills.,Negative,Fear,Moderate
i completed a big task and feel accomplished.,Positive,Happy,'
fear keeps me from speaking my mind.,Negative,Fear,Moderate
my anxiety makes me feel paralyzed in public.,Negative,Anxiety,High
a kind message from a friend made my day.,Positive,Happy,'
life feels beautiful right now.,Positive,Happy,'
i am so proud of myself.,Positive,Happy,'
listening to my favorite playlist and feeling good.,Positive,Happy,'
i feel terror just hearing certain sounds.,Negative,Fear,High
i get a bit upset when people are rude.,Negative,Anger,Low
the conference call lasted an hour.,Neutral,Neutral,'
i'm consumed by overwhelming panic.,Negative,Anxiety,High
a kind message from a friend made my day.,Positive,Happy,'
i feel slightly disappointed.,Negative,Sad,Low
i feel angry when treated unfairly.,Negative,Anger,Moderate
uncertainty causes me noticeable distress.,Negative,Anxiety,Moderate
i feel like i'm slowly fading from memory.,Negative,Depression,Moderate
the printer needs paper.,Neutral,Neutral,'
i'm mildly disappointed.,Negative,Sad,Low
my anger builds when people are inconsiderate.,Negative,Anger,Moderate
"the sun is out, and it feels nice to relax.",Positive,Happy,'
deadlines make my heart race frequently.,Negative,Anxiety,Moderate
a kind message from a friend made my day.,Positive,Happy,'
i feel completely broken inside.,Negative,Sad,High
i'm slightly uneasy in social settings.,Negative,Anxiety,Low
getting out of bed feels like a task.,Negative,Depression,Low
the weather is pleasant today.,Neutral,Neutral,'
i get chest pains from extreme worry.,Negative,Anxiety,High
i did it! i actually did it!,Positive,Happy,'
"tried a new recipe, and it turned out okay!",Positive,Happy,'
i feel like i'm beyond saving.,Negative,Depression,High
had a nice conversation with a friend today.,Positive,Happy,'
i feel terror just hearing certain sounds.,Negative,Fear,High
i stay alert constantly fearing bad news.,Negative,Fear,Moderate
"the sun is out, and it feels nice to relax.",Positive,Happy,'
i feel emotionally tired.,Negative,Sad,Moderate
i blackout from intense anger sometimes.,Negative,Anger,High
"life feels meaningless, and i am just existing.",Negative,Depression,Moderate
"got a compliment at work, it made my day.",Positive,Happy,'
i feel slight tension before exams.,Negative,Anxiety,Low
i feel like i'm falling apart completely.,Negative,Sad,High
disappointed in myself today.,Negative,Sad,Moderate
i feel nervous about job interviews.,Negative,Fear,Low
had a nice conversation with a friend today.,Positive,Happy,'
it's tuesday today.,Neutral,Neutral,'
i feel disconnected from my surroundings.,Negative,Depression,Low
i feel detached from reality due to anxiety.,Negative,Anxiety,High
i feel nervous about job interviews.,Negative,Fear,Low
everything feels right today.,Positive,Happy,'
the coffee is hot.,Neutral,Neutral,'
i got the job! i am over the moon!,Positive,Happy,'
i get slightly upset by inconsiderate behavior.,Negative,Anger,Low
"i feel invisible, like no one would notice if i vanished.",Negative,Depression,High
i fear failure in every new attempt.,Negative,Fear,Moderate
the coffee is hot.,Neutral,Neutral,'
i can't control my rage anymore.,Negative,Anger,High
the package was delivered yesterday.,Neutral,Neutral,'
enjoyed a quiet cup of coffee this morning.,Positive,Happy,'
i feel like i'm in constant danger.,Negative,Fear,High
minor inconveniences bother me.,Negative,Anger,Low
i'm paralyzed by intense worry.,Negative,Anxiety,High
i'm feeling somewhat melancholy.,Negative,Sad,Low
i completed a big task and feel accomplished.,Positive,Happy,'
rage takes over my entire being.,Negative,Anger,High
everything feels like too much all the time.,Negative,Anxiety,High
i have lost all hope and meaning.,Negative,Depression,High
i am so proud of myself.,Positive,Happy,'
i feel emotionally numb.,Negative,Depression,Low
nothing feels right anymore.,Negative,Sad,High
i'm overwhelmed by sadness i can't shake off.,Negative,Depression,Moderate
i no longer enjoy things i used to love.,Negative,Depression,Low
i fear disappointing others.,Negative,Fear,Moderate
i get mildly anxious meeting new people.,Negative,Anxiety,Low
"the sun is out, and it feels nice to relax.",Positive,Happy,'
i experience physical tension from worry.,Negative,Anxiety,Moderate
i feel detached from reality due to anxiety.,Negative,Anxiety,High
enjoyed peaceful moments with family.,Positive,Happy,'
i am afraid something bad might happen.,Negative,Fear,Moderate
i panic if loved ones don't respond quickly.,Negative,Fear,High
i live in constant fear for my safety.,Negative,Fear,High
it's tuesday today.,Neutral,Neutral,'
i need to buy groceries.,Neutral,Neutral,'
my heart feels shattered beyond repair.,Negative,Sad,High
i hurt myself when rage overtakes me.,Negative,Anger,High
my anger makes me do things i regret.,Negative,Anger,High
"life feels meaningless, and i am just existing.",Negative,Depression,Moderate
this moment is perfect.,Positive,Happy,'
i feel like i'm falling apart completely.,Negative,Sad,High
"it's been a peaceful, uneventful day.",Positive,Happy,'
i missed someone a lot today.,Negative,Sad,Moderate
it is becoming harder to pretend i am okay.,Negative,Depression,Moderate
my temper flares during disagreements.,Negative,Anger,Moderate
i feel like i'm suffocating from anxiety.,Negative,Anxiety,High
i feel like i'm falling apart completely.,Negative,Sad,High
the phone is charging.,Neutral,Neutral,'
rude behavior makes me notably angry.,Negative,Anger,Moderate
i raise my voice when disrespected.,Negative,Anger,Moderate
fear keeps me from speaking my mind.,Negative,Fear,Moderate
i feel emotionally tired.,Negative,Sad,Moderate
i get chest pains from extreme worry.,Negative,Anxiety,High
i feel like i'm fading into the background.,Negative,Depression,Low
"got a compliment at work, it made my day.",Positive,Happy,'
i feel uncomfortable during casual conversations.,Negative,Anxiety,Low
poor service makes me a bit angry.,Negative,Anger,Low
waiting in long lines frustrates me mildly.,Negative,Anger,Low
i'm struggling to find a reason to get through the day.,Negative,Depression,Moderate
"tried a new recipe, and it turned out okay!",Positive,Happy,'
i felt appreciated for the little things i did.,Positive,Happy,'
i feel forgotten and overlooked.,Negative,Sad,Moderate
i'm haunted by past traumatic experiences.,Negative,Fear,High
everything feels right today.,Positive,Happy,'
"finally finished that project, what a relief!",Positive,Happy,'
it is becoming harder to pretend i am okay.,Negative,Depression,Moderate
disappointed in myself today.,Negative,Sad,Moderate
i cry without knowing the exact reason.,Negative,Anxiety,High
a small change in routine makes me uneasy.,Negative,Anxiety,Low
i'm a bit scared during thunderstorms.,Negative,Fear,Low
i feel like i'm slowly disappearing from life.,Negative,Depression,Moderate
i am so proud of myself.,Positive,Happy,'
watched a feel-good movie. it lifted my spirits.,Positive,Happy,'
i get nervous watching horror movies.,Negative,Fear,Low
i feel completely broken inside.,Negative,Sad,High
i have three appointments today.,Neutral,Neutral,'
my mind races with fear every day.,Negative,Anxiety,High
i just don't feel like myself anymore.,Negative,Depression,Low
i'm consumed by overwhelming panic.,Negative,Anxiety,High
life feels beautiful right now.,Positive,Happy,'
i'm paralyzed by overwhelming fear.,Negative,Fear,High
i missed someone a lot today.,Negative,Sad,Moderate
i get annoyed when plans change suddenly.,Negative,Anger,Low
enjoyed peaceful moments with family.,Positive,Happy,'
my anxiety makes me feel paralyzed in public.,Negative,Anxiety,High
i feel like i'm in a bottomless pit.,Negative,Depression,High
my hands tremble when i sense danger.,Negative,Fear,Moderate
my patience runs thin with repeated mistakes.,Negative,Anger,Moderate
i find it hard to concentrate when worried.,Negative,Anxiety,Moderate
i panic if loved ones don't respond quickly.,Negative,Fear,High
"finally finished that project, what a relief!",Positive,Happy,'
i do not feel connected to anyone around me.,Negative,Depression,Moderate
this is the happiest i've felt in a long time!,Positive,Happy,'
my mind is constantly battling itself.,Negative,Depression,Moderate
the cat is sleeping.,Neutral,Neutral,'
i did it! i actually did it!,Positive,Happy,'
my patience runs thin with repeated mistakes.,Negative,Anger,Moderate
i feel somewhat downcast.,Negative,Sad,Low
today was a good day.,Positive,Happy,'
i feel heated when my time is wasted.,Negative,Anger,Moderate
i can't stop smiling!,Positive,Happy,'
i felt truly connected with people today.,Positive,Happy,'
disappointed in myself today.,Negative,Sad,Moderate
i completed a big task and feel accomplished.,Positive,Happy,'
i feel breathless during stressful moments.,Negative,Anxiety,Moderate
i'm afraid of making mistakes.,Negative,Fear,Moderate
"tried a new recipe, and it turned out okay!",Positive,Happy,'
group discussions make me sweat nervously.,Negative,Anxiety,Moderate
"i feel invisible, like no one would notice if i vanished.",Negative,Depression,High
listening to my favorite playlist and feeling good.,Positive,Happy,'
i get mildly frustrated with slow internet.,Negative,Anger,Low
i'm suffocating under the weight of sadness.,Negative,Sad,High
minor inconveniences bother me.,Negative,Anger,Low
there are clouds in the sky.,Neutral,Neutral,'
messy spaces make me somewhat angry.,Negative,Anger,Low
i downloaded a new app.,Neutral,Neutral,'
fear consumes me every night before sleeping.,Negative,Fear,High
i love being around them.,Positive,Happy,'
i feel like a burden.,Negative,Sad,High
i wake up feeling stressed without reason.,Negative,Anxiety,Moderate
life feels beautiful right now.,Positive,Happy,'
deadlines make my heart race frequently.,Negative,Anxiety,Moderate
tears won't stop today.,Negative,Sad,High
had a delicious meal and laughed a lot tonight.,Positive,Happy,'
today was a good day.,Positive,Happy,'
i cannot see a way out of this darkness.,Negative,Sad,High
i'm overwhelmed by complete hopelessness.,Negative,Depression,High
the printer needs paper.,Neutral,Neutral,'
the phone is charging.,Neutral,Neutral,'
i'm constantly tired after a full night's sleep.,Negative,Depression,Low
i'm feeling mildly upset.,Negative,Sad,Low
the weather is pleasant today.,Neutral,Neutral,'
i feel distant from everyone.,Negative,Sad,Moderate
i feel a bit off today.,Negative,Sad,Low
this is the happiest i've felt in a long time!,Positive,Happy,'
i feel a bit anxious about heights.,Negative,Fear,Low
i feel irritated by loud noises.,Negative,Anger,Low
i feel panic and can't breathe properly.,Negative,Anxiety,High
i blackout from intense anger sometimes.,Negative,Anger,High
the conference call lasted an hour.,Neutral,Neutral,'
"i laughed so much today, it felt amazing.",Positive,Happy,'
smiling feels forced and exhausting.,Negative,Depression,Moderate
i double-check things more than i should.,Negative,Anxiety,Low
i fear failure in every new attempt.,Negative,Fear,Moderate
i get heated during difficult conversations.,Negative,Anger,Moderate
i feel somewhat downcast.,Negative,Sad,Low
she is reading a book.,Neutral,Neutral,'
my thoughts feel heavy and hard to escape.,Negative,Depression,Moderate
i did it! i actually did it!,Positive,Happy,'
my anger makes me do things i regret.,Negative,Anger,High
my thoughts spiral when i'm uncertain.,Negative,Anxiety,Moderate
arguments leave me feeling worked up.,Negative,Anger,Moderate
enjoyed a quiet cup of coffee this morning.,Positive,Happy,'
